URN,ATT8SCR,TALLPPE_ALEV_1618,PCODE,Best Rank,Latitude,Longitude,Info,Region
138051,85.2,49.25,NW11 7BN,1,51.58108734,-0.18916115,"The Henrietta Barnett School<br>11-18 Girls Academy <br>GCSE: A8S 85.2, #1<br>A-level: APS 49.25, #30",Greater London
136615,85.1,48.99,KT2 5PL,2,51.42557937,-0.30286871,"The Tiffin Girls' School<br>11-18 Girls Academy <br>GCSE: A8S 85.1, #2<br>A-level: APS 48.99, #35",Greater London
136290,84.6,51.26,EN5 4DQ,4,51.65575814,-0.21252727,"Queen Elizabeth's School, Barnet<br>11-18 Boys Academy <br>GCSE: A8S 84.6, #4<br>A-level: APS 51.26, #12",Greater London
101676,83.0,49.1,BR6 9SH,6,51.36642028,0.10393171,"St Olave's and St Saviour's Grammar School<br>11-18 Boys Maintained school <br>GCSE: A8S 83.0, #6<br>A-level: APS 49.1, #33",Greater London
136621,82.9,47.8,SM6 9JW,7,51.35885363,-0.12804574,"Wilson's School<br>11-18 Boys Academy <br>GCSE: A8S 82.9, #7<br>A-level: APS 47.8, #56",Greater London
136787,81.2,43.13,SM1 4AS,14,51.36509221,-0.18973527,"Sutton Grammar School<br>11-18 Boys Academy <br>GCSE: A8S 81.2, #14<br>A-level: APS 43.13, #173",Greater London
136795,80.7,44.87,SM3 8AB,15,51.35541714,-0.22386825,"Nonsuch High School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 80.7, #15<br>A-level: APS 44.87, #112",Greater London
136551,80.2,40.98,BR6 9SA,16,51.36707105,0.07399343,"Newstead Wood School<br>11-18 Girls Academy <br>GCSE: A8S 80.2, #16<br>A-level: APS 40.98, #263",Greater London
102055,79.9,42.76,N9 9TN,19,51.62602492,-0.07411602,"The Latymer School<br>11-18 Mixed Maintained school <br>GCSE: A8S 79.9, #19<br>A-level: APS 42.76, #188",Greater London
136789,79.4,40.96,SM6 0PH,21,51.34799613,-0.14882223,"Wallington High School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 79.4, #21<br>A-level: APS 40.96, #266",Greater London
102852,78.8,39.14,IG8 9LA,22,51.60722156,0.01842788,"Woodford County High School<br>11-18 Girls Maintained school <br>GCSE: A8S 78.8, #22<br>A-level: APS 39.14, #373",Greater London
136910,77.7,46.56,KT2 6RL,30,51.41180604,-0.29564265,"Tiffin School<br>11-18 Boys Academy <br>GCSE: A8S 77.7, #30<br>A-level: APS 46.56, #78",Greater London
