URN,ATT8SCR,TALLPPE_ALEV_1618,PCODE,Best Rank,Latitude,Longitude,Info,Region
137045,82.8,46.72,B14 7QJ,8,52.43110283,-1.90227547,"King Edward VI Camp Hill School for Boys<br>11-18 Boys Academy <br>GCSE: A8S 82.8, #8<br>A-level: APS 46.72, #75",Midlands
137515,82.2,45.02,CO3 3US,10,51.88516802,0.8752488,"Colchester County High School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 82.2, #10<br>A-level: APS 45.02, #108",Midlands
137044,79.9,43.53,B14 7QJ,18,52.43110283,-1.90227547,"King Edward VI Camp Hill School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 79.9, #18<br>A-level: APS 43.53, #155",Midlands
137814,79.7,48.23,CO3 3ND,20,51.88669625,0.88701735,"Colchester Royal Grammar School<br>11-18 Boys Academy <br>GCSE: A8S 79.7, #20<br>A-level: APS 48.23, #45",Midlands
137302,78.7,47.88,CV37 6BE,24,52.19014791,-1.70719144,"King Edward VI School<br>11-18 Boys Academy <br>GCSE: A8S 78.7, #24<br>A-level: APS 47.88, #55",Midlands
137235,78.5,41.75,CV37 9HA,26,52.19049404,-1.72407097,"Stratford Girls' Grammar School<br>11-18 Girls Academy <br>GCSE: A8S 78.5, #26<br>A-level: APS 41.75, #225",Midlands
136516,78.3,39.09,TF10 7HL,28,52.76323276,-2.38121714,"Newport Girls' High School Academy<br>11-18 Girls Academy <br>GCSE: A8S 78.3, #28<br>A-level: APS 39.09, #382",Midlands
134034,76.9,,B11 3DW,34,52.44545678,-1.83447792,"Al-Burhan Grammar School<br>11-16 Girls Independent school <br>GCSE: A8S 76.9, #34",Midlands
137046,76.9,41.7,B32 4BT,35,52.43211424,-1.99930252,"King Edward VI Five Ways School<br>11-18 Mixed Academy <br>GCSE: A8S 76.9, #35<br>A-level: APS 41.7, #227",Midlands
136773,76.4,38.86,WS1 2PG,36,52.57776515,-1.96682205,"Queen Mary's Grammar School<br>11-18 Boys Academy <br>GCSE: A8S 76.4, #36<br>A-level: APS 38.86, #393",Midlands
137988,76.4,42.3,B74 2NH,37,52.56903304,-1.82198829,"Bishop Vesey's Grammar School<br>11-18 Boys Academy <br>GCSE: A8S 76.4, #37<br>A-level: APS 42.3, #204",Midlands
136778,75.8,42.34,B73 5PT,44,52.55429171,-1.82980492,"Sutton Coldfield Grammar School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 75.8, #44<br>A-level: APS 42.34, #203",Midlands
137047,75.0,38.18,B21 9AR,55,52.50258916,-1.92331703,"King Edward VI Handsworth School<br>11-18 Girls Academy <br>GCSE: A8S 75.0, #55<br>A-level: APS 38.18, #434",Midlands
141277,74.7,38.25,CV21 3AG,59,52.37129052,-1.25512802,"Lawrence Sheriff School<br>11-18 Boys Academy <br>GCSE: A8S 74.7, #59<br>A-level: APS 38.25, #425",Midlands
140798,74.3,37.43,WV6 0BY,60,52.59098927,-2.15597787,"Wolverhampton Girls' High School<br>11-18 Girls Academy <br>GCSE: A8S 74.3, #60<br>A-level: APS 37.43, #498",Midlands
122936,74.2,44.54,NG1 4JB,64,52.96267865,-1.15616645,"Nottingham Girls' High School GDST<br>4-18 Girls Independent school <br>GCSE: A8S 74.2, #64<br>A-level: APS 44.54, #119",Midlands
136622,73.3,35.75,B49 5ED,73,52.21819671,-1.87471004,"Alcester Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 73.3, #73<br>A-level: APS 35.75, #672",Midlands
136350,72.9,39.95,LN7 6QJ,81,53.49659248,-0.32025571,"Caistor Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 72.9, #81<br>A-level: APS 39.95, #328",Midlands
136595,72.6,39.99,CV22 7RE,84,52.35247938,-1.28664486,"Rugby High School<br>11-18 Girls Academy <br>GCSE: A8S 72.6, #84<br>A-level: APS 39.99, #325",Midlands
137446,71.8,41.53,TF10 7BD,100,52.76930779,-2.38180389,"Haberdashers' Adams<br>11-18 Boys Academy <br>GCSE: A8S 71.8, #100<br>A-level: APS 41.53, #236",Midlands
136777,71.3,36.53,WS4 2AE,106,52.58975982,-1.97587643,"Queen Mary's High School<br>11-18 Girls Academy <br>GCSE: A8S 71.3, #106<br>A-level: APS 36.53, #581",Midlands
137043,71.1,36.25,B6 6DJ,110,52.50367337,-1.88563139,"King Edward VI Aston School<br>11-18 Boys Academy <br>GCSE: A8S 71.1, #110<br>A-level: APS 36.25, #611",Midlands
138638,69.7,37.84,NG31 9AU,121,52.91320471,-0.63430876,"Kesteven and Grantham Girls' School<br>11-18 Girls Academy <br>GCSE: A8S 69.7, #121<br>A-level: APS 37.84, #471",Midlands
