URN,ATT8SCR,TALLPPE_ALEV_1618,PCODE,Best Rank,Latitude,Longitude,Info,Region
137289,78.6,48.33,WA14 2NL,25,53.38122827,-2.36047004,"Altrincham Grammar School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 78.6, #25<br>A-level: APS 48.33, #43",North England
137916,78.4,44.82,L15 9EE,27,53.39300711,-2.9160885,"The Blue Coat School<br>11-18 Mixed Academy <br>GCSE: A8S 78.4, #27<br>A-level: APS 44.82, #114",North England
136458,78.0,45.04,WA14 2RS,29,53.37649186,-2.35124562,"Altrincham Grammar School for Boys<br>11-18 Boys Academy <br>GCSE: A8S 78.0, #29<br>A-level: APS 45.04, #106",North England
136381,75.2,44.73,LA1 1SF,53,54.04572849,-2.80331764,"Lancaster Girls' Grammar School<br>11-18 Girls Academy <br>GCSE: A8S 75.2, #53<br>A-level: APS 44.73, #116",North England
136390,74.9,38.57,BB7 2DJ,58,53.87468381,-2.38850796,"Clitheroe Royal Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 74.9, #58<br>A-level: APS 38.57, #407",North England
138464,73.3,42.36,WA14 4AH,74,53.38827592,-2.35725214,"Loreto Grammar School<br>11-18 Girls Academy <br>GCSE: A8S 73.3, #74<br>A-level: APS 42.36, #201",North England
105592,73.2,45.49,M14 6HS,75,53.4472355,-2.22256939,"Manchester High School for Girls<br>4-18 Girls Independent school <br>GCSE: A8S 73.2, #75<br>A-level: APS 45.49, #97",North England
136283,72.9,34.85,WF16 0AH,82,53.70800634,-1.66922429,"Heckmondwike Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 72.9, #82<br>A-level: APS 34.85, #805",North England
139182,72.9,33.82,HX3 0HG,80,53.71166288,-1.87813776,"The Crossley Heath School<br>11-18 Mixed Academy <br>GCSE: A8S 72.9, #80<br>A-level: APS 33.82, #931",North England
121694,72.5,41.62,HG4 2DG,87,54.13917202,-1.53911345,"Ripon Grammar School<br>11-18 Mixed Maintained school <br>GCSE: A8S 72.5, #87<br>A-level: APS 41.62, #229",North England
138835,72.0,37.18,BB4 7BJ,96,53.69344769,-2.24740191,"Bacup and Rawtenstall Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 72.0, #96<br>A-level: APS 37.18, #519",North England
136498,72.0,40.93,M33 3NH,93,53.41812914,-2.31502854,"Sale Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 72.0, #93<br>A-level: APS 40.93, #268",North England
137171,71.5,40.56,CH63 3AF,102,53.34848341,-3.01408459,"Wirral Grammar School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 71.5, #102<br>A-level: APS 40.56, #293",North England
121716,71.5,39.61,BD23 1PL,104,53.96339145,-2.02342526,"Ermysted's Grammar School<br>11-18 Boys Maintained school <br>GCSE: A8S 71.5, #104<br>A-level: APS 39.61, #351",North England
136742,71.4,42.48,LA1 3EF,105,54.04720009,-2.79011962,"Lancaster Royal Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 71.4, #105<br>A-level: APS 42.48, #195",North England
137243,71.2,39.04,CH48 5DP,108,53.37804675,-3.18509296,"West Kirby Grammar School<br>11-18 Girls Academy <br>GCSE: A8S 71.2, #108<br>A-level: APS 39.04, #387",North England
136664,71.2,40.89,BD23 1QL,109,53.96382203,-2.02734271,"Skipton Girls' High School<br>11-18 Girls Academy <br>GCSE: A8S 71.2, #109<br>A-level: APS 40.89, #269",North England
108305,70.8,40.83,WF1 2QS,112,53.68688953,-1.50370634,"Wakefield Girls' High School<br>11-19 Girls Independent school <br>GCSE: A8S 70.8, #112<br>A-level: APS 40.83, #276",North England
136297,70.0,37.12,M41 5UG,116,53.45056418,-2.36104248,"Urmston Grammar Academy<br>11-18 Mixed Academy <br>GCSE: A8S 70.0, #116<br>A-level: APS 37.12, #525",North England
141565,69.9,40.66,BB2 7AD,117,53.75412738,-2.51314854,"Tauheedul Islam Girls' High School<br>11-18 Girls Academy <br>GCSE: A8S 69.9, #117<br>A-level: APS 40.66, #285",North England
104730,69.8,,L7 3HL,119,53.40271791,-2.95367469,"Christian Fellowship School<br>4-16 Mixed Independent school <br>GCSE: A8S 69.8, #119",North England
138134,69.1,36.93,WA15 0HE,130,53.370549,-2.31973994,"Saint Ambrose College<br>11-18 Boys Academy <br>GCSE: A8S 69.1, #130<br>A-level: APS 36.93, #552",North England
136788,68.3,36.69,HX2 9SU,138,53.7556639,-1.88278863,"The North Halifax Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 68.3, #138<br>A-level: APS 36.69, #570",North England
106368,67.8,32.53,M32 8JB,144,53.44370913,-2.2982655,"Stretford Grammar School<br>11-18 Mixed Maintained school <br>GCSE: A8S 67.8, #144<br>A-level: APS 32.53, #1,137",North England
139144,67.3,36.06,CH48 8GG,149,53.36760601,-3.16263514,"Calday Grange Grammar School<br>11-18 Boys Academy <br>GCSE: A8S 67.3, #149<br>A-level: APS 36.06, #641",North England
137476,66.9,33.67,CH63 3AQ,154,53.34807918,-3.01299341,"Wirral Grammar School for Boys<br>11-18 Boys Academy <br>GCSE: A8S 66.9, #154<br>A-level: APS 33.67, #954",North England
105595,66.7,49.33,M14 6BL,29,53.43901349,-2.22588346,"Withington Girls' School<br>7-18 Girls Independent school <br>GCSE: A8S 66.7, #156<br>A-level: APS 49.33, #29",North England
111767,65.0,,TS20 1DX,178,54.5932116,-1.31325768,"Red House School<br>3-17 Mixed Independent school <br>GCSE: A8S 65.0, #178",North England
137929,64.2,36.33,CH49 6LJ,186,53.38548582,-3.09998799,"Upton Hall School FCJ<br>11-18 Girls Academy <br>GCSE: A8S 64.2, #186<br>A-level: APS 36.33, #600",North England
114330,64.2,40.97,DH1 3TB,187,54.75634826,-1.5871893,"Durham High School for Girls<br>3-18 Girls Independent school <br>GCSE: A8S 64.2, #187<br>A-level: APS 40.97, #264",North England
136732,64.0,37.8,CA11 7EG,189,54.65915665,-2.75799866,"Queen Elizabeth Grammar School Penrith<br>11-18 Mixed Academy <br>GCSE: A8S 64.0, #189<br>A-level: APS 37.8, #475",North England
130318,62.0,,M21 9FA,231,53.44033808,-2.27983063,"Manchester Islamic Grammar School for Girls<br>11-16 Girls Independent school <br>GCSE: A8S 62.0, #231",North England
134770,62.0,,LA2 8LH,232,54.11462496,-2.63921022,"Oneschool Global Uk Lancaster Campus<br>7-18 Mixed Independent school <br>GCSE: A8S 62.0, #232",North England
136801,61.7,,PR1 6QQ,244,53.76700364,-2.68641919,"Preston Muslim Girls High School<br>11-19 Girls Maintained school <br>GCSE: A8S 61.7, #244",North England
131389,61.6,43.33,BB1 5JT,168,53.75502212,-2.46341407,"Jamiatul-Ilm Wal-Huda UK School<br>11-25 Boys Independent school <br>GCSE: A8S 61.6, #246<br>A-level: APS 43.33, #168",North England
135174,61.2,34.76,L8 3TF,256,53.38475887,-2.95695683,"The Belvedere Academy<br>11-19 Girls Academy <br>GCSE: A8S 61.2, #256<br>A-level: APS 34.76, #815",North England
119856,60.9,,BB1 1TF,266,53.74418209,-2.46817667,"Al Islah Girls' High School<br>11-16 Girls Independent school <br>GCSE: A8S 60.9, #266",North England
136780,60.5,36.94,CH43 1UQ,282,53.38999123,-3.04887377,"St Anselm's College<br>11-18 Boys Academy <br>GCSE: A8S 60.5, #282<br>A-level: APS 36.94, #550",North England
136905,59.8,35.87,LS29 8TR,306,53.92182595,-1.81392745,"Ilkley Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 59.8, #306<br>A-level: APS 35.87, #658",North England
137309,59.7,42.82,M8 5DY,184,53.51604223,-2.24530897,"The King David High School<br>11-18 Mixed Academy <br>GCSE: A8S 59.7, #313<br>A-level: APS 42.82, #184",North England
119826,59.6,29.47,BB2 6QU,314,53.75295278,-2.53107522,"Westholme School<br>0-18 Mixed Independent school <br>GCSE: A8S 59.6, #314<br>A-level: APS 29.47, #1,681",North England
107791,59.5,36.25,WF12 9NG,319,53.68409458,-1.63127222,"Institute of Islamic Education<br>11-25 Boys Independent school <br>GCSE: A8S 59.5, #319<br>A-level: APS 36.25, #610",North England
138251,59.4,,BD5 0BE,325,53.78628622,-1.7615723,"Dixons Trinity Academy<br>11-18 Mixed Academy <br>GCSE: A8S 59.4, #325",North England
138743,59.2,,CW9 8EZ,331,53.24189803,-2.50720752,"The County High School, Leftwich<br>11-16 Mixed Academy <br>GCSE: A8S 59.2, #331",North England
108538,59.2,43.3,NE2 3BA,169,54.98383865,-1.60669337,"Newcastle High School for Girls<br>3-18 Girls Independent school <br>GCSE: A8S 59.2, #334<br>A-level: APS 43.3, #169",North England
121715,58.8,,DL10 7DA,346,54.40955649,-1.71906046,"St Francis Xavier School<br>11-16 Mixed Maintained school <br>GCSE: A8S 58.8, #346",North England
105272,58.7,43.7,BL1 4PB,152,53.57988413,-2.45486426,"Bolton School Girls' Division<br>0-18 Girls Independent school <br>GCSE: A8S 58.7, #356<br>A-level: APS 43.7, #152",North England
137296,58.7,,PR26 9HH,350,53.6617712,-2.76747148,"Bishop Rawstorne Church of England Academy<br>11-16 Mixed Academy <br>GCSE: A8S 58.7, #350",North England
111484,58.4,34.45,CH3 6EN,371,53.15057987,-2.83415188,"Abbey Gate College<br>4-18 Mixed Independent school <br>GCSE: A8S 58.4, #371<br>A-level: APS 34.45, #849",North England
136893,58.4,,PR7 1RS,374,53.66078877,-2.63620608,"St Michael's Church of England High School<br>11-16 Mixed Academy <br>GCSE: A8S 58.4, #374",North England
121725,58.2,,YO7 3BZ,379,54.18108648,-1.40684916,"Queen Mary's School<br>3-16 Girls Independent school <br>GCSE: A8S 58.2, #379",North England
137843,58.0,40.71,SK8 7JY,282,53.36424343,-2.18655216,"Cheadle Hulme High School<br>11-18 Mixed Academy <br>GCSE: A8S 58.0, #382<br>A-level: APS 40.71, #282",North England
138562,57.9,24.49,WA1 4PF,385,53.40076881,-2.55130068,"King's Leadership Academy Warrington<br>11-18 Mixed Academy <br>GCSE: A8S 57.9, #385<br>A-level: APS 24.49, #2,273",North England
132749,57.9,,BB1 5NQ,384,53.76235531,-2.46825776,"Islamiyah School<br>11-16 Girls Independent school <br>GCSE: A8S 57.9, #384",North England
108057,57.8,34.48,LS17 7AG,388,53.8503645,-1.5516677,"Allerton High School<br>11-18 Mixed Maintained school <br>GCSE: A8S 57.8, #388<br>A-level: APS 34.48, #844",North England
119759,57.8,,PR3 5JJ,391,53.80746388,-2.72677535,"Broughton High School<br>11-16 Mixed Maintained school <br>GCSE: A8S 57.8, #391",North England
121758,57.7,33.37,HG2 9JP,394,53.97390537,-1.55258459,"Ashville College<br>2-19 Mixed Independent school <br>GCSE: A8S 57.7, #394<br>A-level: APS 33.37, #999",North England
138483,57.7,32.57,CW6 0BL,395,53.15352226,-2.6652434,"Tarporley High School and Sixth Form College<br>11-18 Mixed Academy <br>GCSE: A8S 57.7, #395<br>A-level: APS 32.57, #1,131",North England
121717,57.7,36.13,HG2 8PT,396,53.98407142,-1.51790526,"St John Fisher Catholic High School<br>11-18 Mixed Maintained school <br>GCSE: A8S 57.7, #396<br>A-level: APS 36.13, #628",North England
137139,57.6,36.13,HG2 8JR,404,53.98706668,-1.52528247,"St Aidan's Church of England High School<br>11-18 Mixed Academy <br>GCSE: A8S 57.6, #404<br>A-level: APS 36.13, #631",North England
141971,57.6,,PR1 4BD,407,53.75693989,-2.69990533,"Eden Boys' School, Preston<br>11-18 Boys Academy <br>GCSE: A8S 57.6, #407",North England
108420,57.5,37.35,NE11 0AN,412,54.93837798,-1.64178519,"Emmanuel College<br>11-18 Mixed Independent school <br>GCSE: A8S 57.5, #412<br>A-level: APS 37.35, #508",North England
111478,57.4,41.25,SK9 7QE,250,53.30511337,-2.23824551,"Alderley Edge School for Girls<br>2-18 Girls Independent school <br>GCSE: A8S 57.4, #416<br>A-level: APS 41.25, #250",North England
136340,57.4,34.67,CW11 3NT,414,53.14575314,-2.37358017,"Sandbach High School and Sixth Form College<br>11-18 Girls Academy <br>GCSE: A8S 57.4, #414<br>A-level: APS 34.67, #825",North England
137822,57.3,,OL9 6HR,422,53.54083606,-2.12782897,"Westwood High<br>3-19 Girls Independent school <br>GCSE: A8S 57.3, #422",North England
105372,57.3,31.52,BL8 4NG,420,53.63903125,-2.33374663,"Darul Uloom Al Arabiya Al Islamiya<br>11-23 Boys Independent school <br>GCSE: A8S 57.3, #420<br>A-level: APS 31.52, #1,337",North England
136357,57.1,34.69,LA6 2HJ,435,54.20172595,-2.60384036,"Queen Elizabeth School<br>11-18 Mixed Academy <br>GCSE: A8S 57.1, #435<br>A-level: APS 34.69, #824",North England
136645,57.1,34.04,CH3 7AD,434,53.1831992,-2.83319873,"Christleton High School<br>11-18 Mixed Academy <br>GCSE: A8S 57.1, #434<br>A-level: APS 34.04, #903",North England
138732,57.0,36.02,WA13 0RB,437,53.37924368,-2.4593527,"Lymm High School<br>11-18 Mixed Academy <br>GCSE: A8S 57.0, #437<br>A-level: APS 36.02, #644",North England
137338,57.0,,LA11 7SA,440,54.19827945,-2.949908,"Cartmel Priory CofE School<br>11-16 Mixed Academy <br>GCSE: A8S 57.0, #440",North England
131726,57.0,,OL10 2AA,441,53.58649756,-2.22469017,"Holy Family Roman Catholic and Church of England College<br>11-16 Mixed Maintained school <br>GCSE: A8S 57.0, #441",North England
139606,56.9,,TS17 5BL,449,54.51817538,-1.32069503,"All Saints Academy<br>11-16 Mixed Academy <br>GCSE: A8S 56.9, #449",North England
139118,56.8,,HU7 4WR,454,53.79838135,-0.32618402,"Kingswood Academy<br>11-16 Mixed Academy <br>GCSE: A8S 56.8, #454",North England
104972,56.8,35.65,L23 5TW,452,53.48841096,-3.02600939,"St Mary's College<br>0-18 Mixed Independent school <br>GCSE: A8S 56.8, #452<br>A-level: APS 35.65, #683",North England
119814,56.8,,PR2 8RA,451,53.78277471,-2.70399328,"Archbishop Temple School, A Church of England Specialist College<br>11-16 Mixed Maintained school <br>GCSE: A8S 56.8, #451",North England
107461,56.7,,BD2 1BT,460,53.81983592,-1.76038036,"Bradford Christian School<br>3-16 Mixed Independent school <br>GCSE: A8S 56.7, #460",North England
104705,56.7,31.79,L7 6HQ,462,53.39847999,-2.94399959,"Archbishop Blanch School<br>11-18 Girls Maintained school <br>GCSE: A8S 56.7, #462<br>A-level: APS 31.79, #1,271",North England
139351,56.6,36.04,LS29 6AE,466,53.8812708,-1.72787054,"St. Mary's Menston, a Catholic Voluntary Academy<br>11-18 Mixed Academy <br>GCSE: A8S 56.6, #466<br>A-level: APS 36.04, #643",North England
138002,56.1,34.92,WA16 0EA,496,53.30095704,-2.38129503,"Knutsford Academy<br>11-18 Mixed Academy <br>GCSE: A8S 56.1, #496<br>A-level: APS 34.92, #795",North England
108104,56.1,34.3,LS17 9LE,493,53.89920466,-1.51020804,"Gateways School<br>2-19 Mixed Independent school <br>GCSE: A8S 56.1, #493<br>A-level: APS 34.3, #865",North England
137277,56.0,,BD7 2AN,500,53.79077638,-1.7883835,"Dixons Kings Academy<br>11-16 Mixed Academy <br>GCSE: A8S 56.0, #500",North England
137622,56.0,36.96,DL3 8RW,502,54.52469444,-1.58617443,"Carmel College<br>11-18 Mixed Academy <br>GCSE: A8S 56.0, #502<br>A-level: APS 36.96, #549",North England
139658,56.0,31.66,NE30 4RF,508,55.01902074,-1.42578723,"Kings Priory School<br>4-18 Mixed Academy <br>GCSE: A8S 56.0, #508<br>A-level: APS 31.66, #1,296",North England
121743,55.7,51.57,YO26 9SS,7,54.02843029,-1.29307701,"Queen Ethelburga's College<br>2-19 Mixed Independent school <br>GCSE: A8S 55.7, #526<br>A-level: APS 51.57, #7",North England
105591,12.4,47.91,M13 0XT,54,53.44911842,-2.21024741,"The Manchester Grammar School<br>7-18 Boys Independent school <br>GCSE: A8S 12.4, #3,933<br>A-level: APS 47.91, #54",North England
111485,42.0,47.17,CH4 7QL,66,53.16786334,-2.89994762,"The King's School<br>4-19 Mixed Independent school <br>GCSE: A8S 42.0, #2,643<br>A-level: APS 47.17, #66",North England
111471,52.5,46.7,CW8 1LU,76,53.24851194,-2.54428837,"The Grange School<br>4-18 Mixed Independent school <br>GCSE: A8S 52.5, #860<br>A-level: APS 46.7, #76",North England
108549,15.7,46.38,NE2 4DX,86,54.98281656,-1.60742207,"Royal Grammar School<br>7-19 Mixed Independent school <br>GCSE: A8S 15.7, #3,866<br>A-level: APS 46.38, #86",North England
121724,17.5,45.76,YO30 6AB,92,53.96613814,-1.09251117,"St Peter's School (Inc St Olaves and Clifton Pre-Prep)<br>3-19 Mixed Independent school <br>GCSE: A8S 17.5, #3,821<br>A-level: APS 45.76, #92",North England
111486,41.2,45.33,CH1 2NN,99,53.19089509,-2.89739171,"The Queen's School<br>5-18 Girls Independent school <br>GCSE: A8S 41.2, #2,756<br>A-level: APS 45.33, #99",North England
133285,51.5,44.4,BL1 8LX,129,53.59361377,-2.42934244,"Madrasatul Imam Muhammad Zakariya<br>11-19 Girls Independent school <br>GCSE: A8S 51.5, #983<br>A-level: APS 44.4, #129",North England
111769,4.2,44.35,TS15 9EJ,132,54.50670903,-1.35203436,"Yarm School<br>11-18 Mixed Independent school <br>GCSE: A8S 4.2, #4,192<br>A-level: APS 44.35, #132",North England
108113,46.8,43.97,LS17 8GS,144,53.86418909,-1.51940526,"The Grammar School At Leeds<br>3-19 Mixed Independent school <br>GCSE: A8S 46.8, #1,736<br>A-level: APS 43.97, #144",North England
105588,37.8,43.7,M3 1SB,151,53.48606066,-2.24337244,"Chetham's School of Music<br>8-20 Mixed Independent school <br>GCSE: A8S 37.8, #3,214<br>A-level: APS 43.7, #151",North England
106157,11.8,43.6,SK8 6EF,153,53.36859132,-2.19378484,"Cheadle Hulme School<br>4-18 Mixed Independent school <br>GCSE: A8S 11.8, #3,945<br>A-level: APS 43.6, #153",North England
119824,21.8,43.33,L40 9RQ,167,53.60658312,-2.92028144,"Scarisbrick Hall School<br>1-18 Mixed Independent school <br>GCSE: A8S 21.8, #3,764<br>A-level: APS 43.33, #167",North England
106156,14.0,42.95,SK2 7AF,179,53.38949113,-2.14171966,"Stockport Grammar School<br>3-18 Mixed Independent school <br>GCSE: A8S 14.0, #3,902<br>A-level: APS 42.95, #179",North England
114312,55.9,42.39,DH1 4SU,199,54.77949249,-1.59640723,"Durham Johnston Comprehensive School<br>11-18 Mixed Maintained school <br>GCSE: A8S 55.9, #512<br>A-level: APS 42.39, #199",North England
131124,40.9,41.9,YO26 9SS,222,54.02843029,-1.29307701,"The Faculty of Queen Ethelburga's<br>14-19 Mixed Independent school <br>GCSE: A8S 40.9, #2,799<br>A-level: APS 41.9, #222",North England
107455,22.3,41.64,BD9 4JP,228,53.8145604,-1.76981145,"Bradford Grammar School<br>6-19 Mixed Independent school <br>GCSE: A8S 22.3, #3,760<br>A-level: APS 41.64, #228",North England
136617,55.0,41.61,YO10 5ZA,232,53.95237397,-1.04109015,"Archbishop Holgate's School, A Church of England Academy<br>11-18 Mixed Academy <br>GCSE: A8S 55.0, #578<br>A-level: APS 41.61, #232",North England
105123,51.5,41.29,CH43 2JD,248,53.38484794,-3.05515237,"Birkenhead School<br>0-19 Mixed Independent school <br>GCSE: A8S 51.5, #984<br>A-level: APS 41.29, #248",North England
111473,54.6,40.84,SK10 1DA,274,53.26280032,-2.13039929,"The King's School In Macclesfield<br>3-19 Mixed Independent school <br>GCSE: A8S 54.6, #612<br>A-level: APS 40.84, #274",North England
104973,46.3,40.68,L23 0QP,283,53.48378039,-3.02511405,"Merchant Taylors' Boys' School<br>7-19 Boys Independent school <br>GCSE: A8S 46.3, #1,839<br>A-level: APS 40.68, #283",North England
105373,41.6,40.49,BL9 0HN,299,53.59104182,-2.30359089,"Bury Grammar School<br>3-18 Mixed Independent school <br>GCSE: A8S 41.6, #2,696<br>A-level: APS 40.49, #299",North England
121722,29.6,40.36,YO30 7BU,306,53.96454473,-1.08742411,"Bootham School<br>3-18 Mixed Independent school <br>GCSE: A8S 29.6, #3,649<br>A-level: APS 40.36, #306",North England
105271,52.6,40.27,BL1 4PA,307,53.58031427,-2.45044347,"Bolton School Boys' Division<br>7-18 Boys Independent school <br>GCSE: A8S 52.6, #840<br>A-level: APS 40.27, #307",North England
121749,52.3,40.26,YO19 6EU,309,53.87293187,-1.04041186,"Queen Margaret's School<br>10-18 Girls Independent school <br>GCSE: A8S 52.3, #879<br>A-level: APS 40.26, #309",North England
104974,53.5,40.0,L23 5SP,324,53.48968162,-3.02563311,"Merchant Taylors Girls School<br>4-18 Girls Independent school <br>GCSE: A8S 53.5, #729<br>A-level: APS 40.0, #324",North England
118131,39.7,39.93,HU3 1LW,332,53.74967759,-0.36517053,"Hymers College<br>8-19 Mixed Independent school <br>GCSE: A8S 39.7, #2,983<br>A-level: APS 39.93, #332",North England
108547,55.7,39.05,NE4 9YJ,386,54.98218956,-1.65244479,"Dame Allan's Senior School<br>11-19 Mixed Independent school <br>GCSE: A8S 55.7, #529<br>A-level: APS 39.05, #386",North England
