URN,ATT8SCR,TALLPPE_ALEV_1618,PCODE,Best Rank,Latitude,Longitude,Info,Region
136366,81.7,46.26,EX24 6HN,12,50.72767691,-3.07213166,"Colyton Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 81.7, #12<br>A-level: APS 46.26, #87",South West
136353,81.4,49.67,GL51 0HG,13,51.9066393,-2.11635081,"Pate's Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 81.4, #13<br>A-level: APS 49.67, #24",South West
136391,76.3,40.86,SP1 3JJ,38,51.07970073,-1.79918687,"South Wilts Grammar School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 76.3, #38<br>A-level: APS 40.86, #273",South West
136666,75.9,39.97,GL1 3JN,43,51.87286937,-2.23628611,"Denmark Road High School<br>11-18 Girls Academy <br>GCSE: A8S 75.9, #43<br>A-level: APS 39.97, #327",South West
136874,75.7,44.23,GL5 4HF,45,51.74611918,-2.23258147,"Stroud High School<br>11-18 Girls Academy <br>GCSE: A8S 75.7, #45<br>A-level: APS 44.23, #135",South West
136500,75.4,42.6,SP1 2ED,47,51.06579111,-1.79470922,"Bishop Wordsworth's Church of England Grammar School<br>11-18 Boys Academy <br>GCSE: A8S 75.4, #47<br>A-level: APS 42.6, #190",South West
136306,75.0,40.97,GL2 0LF,56,51.87361032,-2.20537976,"Sir Thomas Rich's School<br>11-18 Boys Academy <br>GCSE: A8S 75.0, #56<br>A-level: APS 40.97, #265",South West
113608,74.2,44.96,EX1 1SJ,63,50.72271983,-3.52105532,"The Maynard School<br>4-19 Girls Independent school <br>GCSE: A8S 74.2, #63<br>A-level: APS 44.96, #110",South West
136588,74.1,37.44,PL2 3DL,65,50.39273252,-4.15169026,"Devonport High School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 74.1, #65<br>A-level: APS 37.44, #496",South West
136506,73.0,40.8,TQ2 7DY,79,50.4770274,-3.55350547,"Torquay Girls Grammar School<br>11-18 Girls Academy <br>GCSE: A8S 73.0, #79<br>A-level: APS 40.8, #278",South West
136850,72.0,40.83,BH17 9JU,92,50.75461317,-1.9801657,"Poole Grammar School<br>11-18 Boys Academy <br>GCSE: A8S 72.0, #92<br>A-level: APS 40.83, #275",South West
137452,71.9,42.36,BH8 9PY,97,50.74860256,-1.85843772,"Bournemouth School<br>11-18 Boys Academy <br>GCSE: A8S 71.9, #97<br>A-level: APS 42.36, #202",South West
136996,71.2,41.28,BH8 9UJ,107,50.750772,-1.85281807,"Bournemouth School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 71.2, #107<br>A-level: APS 41.28, #249",South West
136368,70.5,41.45,BH17 7EP,115,50.74586428,-1.98681686,"Parkstone Grammar School<br>11-18 Girls Academy <br>GCSE: A8S 70.5, #115<br>A-level: APS 41.45, #240",South West
136321,69.8,37.38,TQ2 7EL,118,50.47612568,-3.55704171,"Torquay Boys' Grammar School<br>11-18 Boys Academy <br>GCSE: A8S 69.8, #118<br>A-level: APS 37.38, #507",South West
136578,69.3,39.31,GL2 5AE,127,51.83961632,-2.25111999,"The Crypt School<br>11-18 Mixed Academy <br>GCSE: A8S 69.3, #127<br>A-level: APS 39.31, #368",South West
137123,69.3,40.65,GL5 4HE,128,51.74542126,-2.23537335,"Marling School<br>11-18 Boys Academy <br>GCSE: A8S 69.3, #128<br>A-level: APS 40.65, #286",South West
136496,68.8,37.17,PL1 5QP,133,50.37416972,-4.16176428,"Devonport High School for Boys<br>11-18 Boys Academy <br>GCSE: A8S 68.8, #133<br>A-level: APS 37.17, #520",South West
136388,68.0,37.42,TQ5 0LN,142,50.39599503,-3.55863613,"Churston Ferrers Grammar School Academy<br>11-18 Mixed Academy <br>GCSE: A8S 68.0, #142<br>A-level: APS 37.42, #501",South West
136767,66.2,28.19,GL1 5LE,161,51.8462408,-2.24352109,"Ribston Hall High School<br>11-18 Girls Academy <br>GCSE: A8S 66.2, #161<br>A-level: APS 28.19, #1,859",South West
113945,65.4,40.27,BH4 9NJ,172,50.73146909,-1.90095307,"Talbot Heath School<br>3-19 Girls Independent school <br>GCSE: A8S 65.4, #172<br>A-level: APS 40.27, #308",South West
113532,64.8,30.44,PL4 6HT,181,50.3789512,-4.13615705,"Plymouth High School for Girls<br>11-18 Girls Maintained school <br>GCSE: A8S 64.8, #181<br>A-level: APS 30.44, #1,509",South West
109336,64.1,42.28,BS16 1BJ,188,51.48030338,-2.5558642,"Colston's School<br>3-18 Mixed Independent school <br>GCSE: A8S 64.1, #188<br>A-level: APS 42.28, #206",South West
112082,63.9,,TR27 4HY,194,50.17858242,-5.42527365,"St Piran's School (Gb) Ltd<br>4-16 Mixed Independent school <br>GCSE: A8S 63.9, #194",South West
135849,63.7,38.69,PL5 1HL,196,50.40139095,-4.19753752,"Oneschool Global Uk, Plymouth Campus<br>7-18 Mixed Independent school <br>GCSE: A8S 63.7, #196<br>A-level: APS 38.69, #402",South West
123904,61.3,40.15,BA10 0NT,253,51.09915475,-2.46883274,"Bruton School for Girls<br>2-18 Girls Independent school <br>GCSE: A8S 61.3, #253<br>A-level: APS 40.15, #312",South West
136474,61.1,37.96,GL53 8QF,262,51.88135226,-2.04419705,"Balcarras School<br>11-18 Mixed Academy <br>GCSE: A8S 61.1, #262<br>A-level: APS 37.96, #455",South West
138855,60.8,38.57,BS6 7EH,271,51.47278353,-2.60376204,"Redland Green School<br>11-18 Mixed Academy <br>GCSE: A8S 60.8, #271<br>A-level: APS 38.57, #408",South West
113606,60.1,41.09,EX32 0SX,259,51.0676394,-3.90273776,"West Buckland School<br>2-18 Mixed Independent school <br>GCSE: A8S 60.1, #295<br>A-level: APS 41.09, #259",South West
116513,58.3,,SP10 3AL,376,51.20668007,-1.49313313,"Rookwood School<br>2-16 Mixed Independent school <br>GCSE: A8S 58.3, #376",South West
115810,58.2,,GL1 4AW,381,51.86171209,-2.23592268,"Al-Ashraf Secondary School for Girls<br>11-16 Girls Independent school <br>GCSE: A8S 58.2, #381",South West
136966,57.7,32.48,BA2 3LA,397,51.37630422,-2.37187629,"Hayesfield Girls School<br>11-18 Girls Academy <br>GCSE: A8S 57.7, #397<br>A-level: APS 32.48, #1,150",South West
