URN,ATT8SCR,TALLPPE_ALEV_1618,PCODE,Best Rank,Latitude,Longitude,Info,Region
138051,87.3,48.6,NW11 7BN,1,51.58108734,-0.18916115,"The Henrietta Barnett School<br>11-18 Girls Academy <br>GCSE: A8S 87.3, #1<br>A-level: APS 48.6, #65",Greater London
136621,86.9,50.63,SM6 9JW,2,51.35885363,-0.12804574,"Wilson's School<br>11-18 Boys Academy <br>GCSE: A8S 86.9, #2<br>A-level: APS 50.63, #36",Greater London
136290,85.6,52.66,EN5 4DQ,3,51.65575814,-0.21252727,"Queen Elizabeth's School, Barnet<br>11-18 Boys Academy <br>GCSE: A8S 85.6, #3<br>A-level: APS 52.66, #10",Greater London
136615,85.3,49.58,KT2 5PL,4,51.42557937,-0.30286871,"The Tiffin Girls' School<br>11-18 Girls Academy <br>GCSE: A8S 85.3, #4<br>A-level: APS 49.58, #47",Greater London
136448,84.0,44.47,RG1 5BN,5,51.45117517,-0.96432853,"Kendrick School<br>11-18 Girls Academy <br>GCSE: A8S 84.0, #5<br>A-level: APS 44.47, #188",South East
101676,83.6,50.26,BR6 9SH,6,51.36642028,0.10393171,"St Olave's and St Saviour's Grammar School<br>11-18 Boys Maintained school <br>GCSE: A8S 83.6, #6<br>A-level: APS 50.26, #42",Greater London
136642,83.3,49.05,CM1 3SX,7,51.74005108,0.4645248,"King Edward VI Grammar School, Chelmsford<br>11-18 Mixed Academy <br>GCSE: A8S 83.3, #7<br>A-level: APS 49.05, #57",South East
137302,83.3,46.35,CV37 6BE,8,52.19014791,-1.70719144,"King Edward VI School<br>11-18 Boys Academy <br>GCSE: A8S 83.3, #8<br>A-level: APS 46.35, #125",Midlands
136449,83.0,48.96,RG1 5LW,9,51.44838038,-0.954391,"Reading School<br>11-18 Boys Academy <br>GCSE: A8S 83.0, #9<br>A-level: APS 48.96, #59",South East
110923,82.9,51.4,CB2 8QF,10,52.18108516,0.13896756,"The Perse School<br>3-18 Mixed Independent school <br>GCSE: A8S 82.9, #10<br>A-level: APS 51.4, #23",Midlands
136551,82.8,43.52,BR6 9SA,11,51.36707105,0.07399343,"Newstead Wood School<br>11-18 Girls Academy <br>GCSE: A8S 82.8, #11<br>A-level: APS 43.52, #232",Greater London
136353,82.7,50.77,GL51 0HG,12,51.9066393,-2.11635081,"Pate's Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 82.7, #12<br>A-level: APS 50.77, #33",South West
149899,82.1,51.32,CO3 3ND,13,51.88669625,0.88701735,"Colchester Royal Grammar School<br>11-18 Boys Academy <br>GCSE: A8S 82.1, #13<br>A-level: APS 51.32, #24",Midlands
102692,81.0,51.56,SW19 4AB,14,51.4224662,-0.21085715,"Wimbledon High School GDST<br>4-19 Girls Independent school <br>GCSE: A8S 81.0, #14<br>A-level: APS 51.56, #16",Greater London
136412,80.7,47.24,CM1 1RW,15,51.74341672,0.46785169,"Chelmsford County High School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 80.7, #15<br>A-level: APS 47.24, #98",South East
137515,80.6,45.33,CO3 3US,16,51.88516802,0.8752488,"Colchester County High School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 80.6, #16<br>A-level: APS 45.33, #153",Midlands
137235,80.6,44.92,CV37 9HA,17,52.19049404,-1.72407097,"Stratford Girls' Grammar School<br>11-18 Girls Academy <br>GCSE: A8S 80.6, #17<br>A-level: APS 44.92, #168",Midlands
137289,80.6,48.93,WA14 2NL,18,53.38122827,-2.36047004,"Altrincham Grammar School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 80.6, #18<br>A-level: APS 48.93, #61",North England
136795,80.5,47.8,SM3 8AB,19,51.35541714,-0.22386825,"Nonsuch High School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 80.5, #19<br>A-level: APS 47.8, #84",Greater London
136789,80.5,45.54,SM6 0PH,20,51.34799613,-0.14882223,"Wallington High School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 80.5, #20<br>A-level: APS 45.54, #145",Greater London
137044,80.4,46.69,B14 7QJ,21,52.43110283,-1.90227547,"King Edward VI Camp Hill School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 80.4, #21<br>A-level: APS 46.69, #116",Midlands
136787,80.3,47.57,SM1 4AS,22,51.36509221,-0.18973527,"Sutton Grammar School<br>11-18 Boys Academy <br>GCSE: A8S 80.3, #22<br>A-level: APS 47.57, #91",Greater London
136283,80.2,39.2,WF16 0AH,23,53.70800634,-1.66922429,"Heckmondwike Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 80.2, #23<br>A-level: APS 39.2, #486",North England
102852,80.1,42.77,IG8 9LA,24,51.60722156,0.01842788,"Woodford County High School<br>11-18 Girls Maintained school <br>GCSE: A8S 80.1, #24<br>A-level: APS 42.77, #264",Greater London
102055,80.1,47.33,N9 9TN,25,51.62602492,-0.07411602,"The Latymer School<br>11-18 Mixed Maintained school <br>GCSE: A8S 80.1, #25<br>A-level: APS 47.33, #94",Greater London
136420,79.9,43.15,SL3 7PR,26,51.50418129,-0.57869079,"Upton Court Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 79.9, #26<br>A-level: APS 43.15, #244",South East
136359,79.9,,DA1 2HW,27,51.44516529,0.20549669,"Dartford Grammar School<br>11-18 Boys Academy <br>GCSE: A8S 79.9, #27",Greater London
137916,79.5,47.26,L15 9EE,28,53.39300711,-2.9160885,"The Blue Coat School<br>11-18 Mixed Academy <br>GCSE: A8S 79.5, #28<br>A-level: APS 47.26, #96",North England
136778,79.4,44.27,B73 5PT,29,52.55429171,-1.82980492,"Sutton Coldfield Grammar School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 79.4, #29<br>A-level: APS 44.27, #196",Midlands
137219,79.1,45.67,HP7 9QB,30,51.66730743,-0.56982761,"Dr Challoner's High School<br>11-18 Girls Academy <br>GCSE: A8S 79.1, #30<br>A-level: APS 45.67, #140",South East
136910,79.1,49.36,KT2 6RL,31,51.41180604,-0.29564265,"Tiffin School<br>11-18 Boys Academy <br>GCSE: A8S 79.1, #31<br>A-level: APS 49.36, #50",Greater London
136366,78.8,47.66,EX24 6HN,32,50.72767691,-3.07213166,"Colyton Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 78.8, #32<br>A-level: APS 47.66, #87",South West
136458,78.5,45.54,WA14 2RS,33,53.37649186,-2.35124562,"Altrincham Grammar School for Boys<br>11-18 Boys Academy <br>GCSE: A8S 78.5, #33<br>A-level: APS 45.54, #146",North England
118843,78.4,47.62,TN9 2PN,34,51.18829002,0.26432154,"The Judd School<br>11-18 Boys Maintained school <br>GCSE: A8S 78.4, #34<br>A-level: APS 47.62, #88",South East
115798,78.2,48.56,GL50 3EP,35,51.89737273,-2.08047303,"Cheltenham Ladies' College<br>11-18 Girls Independent school <br>GCSE: A8S 78.2, #35<br>A-level: APS 48.56, #68",South West
101361,77.8,46.94,N12 7NJ,36,51.61431878,-0.18073208,"St Michael's Catholic Grammar School<br>11-18 Girls Maintained school <br>GCSE: A8S 77.8, #36<br>A-level: APS 46.94, #109",Greater London
136798,77.7,47.55,SM6 7PH,37,51.36901788,-0.14915264,"Wallington County Grammar School<br>11-18 Boys Academy <br>GCSE: A8S 77.7, #37<br>A-level: APS 47.55, #92",Greater London
140862,77.6,48.1,HA9 0UU,39,51.56273522,-0.27892413,"Michaela Community School<br>11-19 Mixed Academy <br>GCSE: A8S 77.6, #39<br>A-level: APS 48.1, #74",Greater London
