Sector,Percentage Change,Region,text
AL1 1,-5,South East,AL1 1<br>Price Change: -5%
AL1 2,7,South East,AL1 2<br>Price Change: 7%
AL1 3,11,South East,AL1 3<br>Price Change: 11%
AL1 4,11,South East,AL1 4<br>Price Change: 11%
AL1 5,17,South East,AL1 5<br>Price Change: 17%
AL10 0,5,South East,AL10 0<br>Price Change: 5%
AL10 8,8,South East,AL10 8<br>Price Change: 8%
AL10 9,4,South East,AL10 9<br>Price Change: 4%
AL2 1,-4,South East,AL2 1<br>Price Change: -4%
AL2 2,13,South East,AL2 2<br>Price Change: 13%
AL2 3,4,South East,AL2 3<br>Price Change: 4%
AL3 4,7,South East,AL3 4<br>Price Change: 7%
AL3 5,-3,South East,AL3 5<br>Price Change: -3%
AL3 6,-5,South East,AL3 6<br>Price Change: -5%
AL3 7,4,South East,AL3 7<br>Price Change: 4%
AL3 8,-1,South East,AL3 8<br>Price Change: -1%
AL4 0,2,South East,AL4 0<br>Price Change: 2%
AL4 8,-18,South East,AL4 8<br>Price Change: -18%
AL4 9,9,South East,AL4 9<br>Price Change: 9%
AL5 1,0,South East,AL5 1<br>Price Change: 0%
AL5 2,7,South East,AL5 2<br>Price Change: 7%
AL5 3,8,South East,AL5 3<br>Price Change: 8%
AL5 4,-12,South East,AL5 4<br>Price Change: -12%
AL5 5,-1,South East,AL5 5<br>Price Change: -1%
AL6 0,-6,South East,AL6 0<br>Price Change: -6%
AL6 9,-15,South East,AL6 9<br>Price Change: -15%
AL7 1,-6,South East,AL7 1<br>Price Change: -6%
AL7 2,-1,South East,AL7 2<br>Price Change: -1%
AL7 3,-3,South East,AL7 3<br>Price Change: -3%
AL7 4,4,South East,AL7 4<br>Price Change: 4%
AL8 6,-1,South East,AL8 6<br>Price Change: -1%
AL8 7,-5,South East,AL8 7<br>Price Change: -5%
AL9 5,7,South East,AL9 5<br>Price Change: 7%
AL9 6,30,South East,AL9 6<br>Price Change: 30%
AL9 7,11,South East,AL9 7<br>Price Change: 11%
B1 1,-10,Midlands,B1 1<br>Price Change: -10%
B1 2,9,Midlands,B1 2<br>Price Change: 9%
B1 3,-3,Midlands,B1 3<br>Price Change: -3%
B10 0,-10,Midlands,B10 0<br>Price Change: -10%
B10 9,0,Midlands,B10 9<br>Price Change: 0%
B11 1,1,Midlands,B11 1<br>Price Change: 1%
B11 2,7,Midlands,B11 2<br>Price Change: 7%
B11 3,-9,Midlands,B11 3<br>Price Change: -9%
B11 4,14,Midlands,B11 4<br>Price Change: 14%
B12 0,-21,Midlands,B12 0<br>Price Change: -21%
B12 8,14,Midlands,B12 8<br>Price Change: 14%
B12 9,2,Midlands,B12 9<br>Price Change: 2%
B13 0,17,Midlands,B13 0<br>Price Change: 17%
B13 8,-12,Midlands,B13 8<br>Price Change: -12%
B13 9,3,Midlands,B13 9<br>Price Change: 3%
B14 4,5,Midlands,B14 4<br>Price Change: 5%
B14 5,6,Midlands,B14 5<br>Price Change: 6%
B14 6,-2,Midlands,B14 6<br>Price Change: -2%
B14 7,-2,Midlands,B14 7<br>Price Change: -2%
B15 1,-27,Midlands,B15 1<br>Price Change: -27%
B15 2,-15,Midlands,B15 2<br>Price Change: -15%
B15 3,-26,Midlands,B15 3<br>Price Change: -26%
B16 0,-20,Midlands,B16 0<br>Price Change: -20%
B16 8,40,Midlands,B16 8<br>Price Change: 40%
B16 9,-5,Midlands,B16 9<br>Price Change: -5%
B17 0,15,Midlands,B17 0<br>Price Change: 15%
B17 8,0,Midlands,B17 8<br>Price Change: 0%
B17 9,14,Midlands,B17 9<br>Price Change: 14%
