Sector,Percentage Change,Region
AL1 1,6,South East
AL1 2,14,South East
AL1 3,22,South East
AL1 4,24,South East
AL1 5,10,South East
AL10 0,17,South East
AL10 8,19,South East
AL10 9,13,South East
AL2 1,8,South East
AL2 2,12,South East
AL2 3,8,South East
AL3 4,12,South East
AL3 5,7,South East
AL3 6,-2,South East
AL3 7,10,South East
AL3 8,-4,South East
AL4 0,14,South East
AL4 8,-1,South East
AL4 9,13,South East
AL5 1,3,South East
AL5 2,1,South East
AL5 3,4,South East
AL5 4,-5,South East
AL5 5,-3,South East
AL6 0,16,South East
AL6 9,32,South East
AL7 1,19,South East
AL7 2,4,South East
AL7 3,14,South East
AL7 4,19,South East
AL8 6,15,South East
AL8 7,13,South East
AL9 5,37,South East
AL9 6,-21,South East
AL9 7,29,South East
B1 1,-3,Midlands
B1 2,18,Midlands
B1 3,-10,Midlands
B10 0,10,Midlands
B10 9,11,Midlands
B11 1,9,Midlands
B11 2,16,Midlands
B11 3,11,Midlands
B11 4,3,Midlands
B12 0,14,Midlands
B12 8,4,Midlands
B12 9,-8,Midlands
B13 0,6,Midlands
B13 8,18,Midlands
B13 9,-1,Midlands
B14 4,7,Midlands
B14 5,7,Midlands
B14 6,1,Midlands
B14 7,8,Midlands
B15 1,2,Midlands
B15 2,-3,Midlands
B15 3,-2,Midlands
B16 0,7,Midlands
B16 8,-8,Midlands
B16 9,7,Midlands
B17 0,-4,Midlands
B17 8,-8,Midlands
B17 9,4,Midlands
B18 4,5,Midlands
B18 5,19,Midlands
B18 6,8,Midlands
B18 7,5,Midlands
B19 1,1,Midlands
B19 2,-2,Midlands
B19 3,-3,Midlands
B2 4,2,Midlands
B2 5,23,Midlands
B20 1,4,Midlands
B20 2,17,Midlands
B20 3,-1,Midlands
B21 0,-4,Midlands
B21 8,14,Midlands
B21 9,3,Midlands
B23 5,1,Midlands
B23 6,7,Midlands
B23 7,10,Midlands
B24 0,11,Midlands
B24 8,12,Midlands
B24 9,2,Midlands
B25 8,5,Midlands
B26 1,7,Midlands
B26 2,9,Midlands
B26 3,5,Midlands
B27 6,2,Midlands
B27 7,10,Midlands
B28 0,8,Midlands
B28 8,8,Midlands
B28 9,13,Midlands
B29 4,9,Midlands
B29 5,16,Midlands
B29 6,29,Midlands
B29 7,-4,Midlands
B3 1,-5,Midlands
B3 2,12,Midlands
B30 1,3,Midlands
B30 2,4,Midlands
B30 3,8,Midlands
B31 1,-4,Midlands
B31 2,-4,Midlands
B31 3,10,Midlands
B31 4,6,Midlands
B31 5,5,Midlands
B32 1,12,Midlands
B32 2,23,Midlands
B32 3,9,Midlands
B32 4,12,Midlands
B33 0,14,Midlands
B33 8,3,Midlands
B33 9,12,Midlands
B34 6,9,Midlands
B34 7,5,Midlands
B35 6,4,Midlands
B35 7,-5,Midlands
B36 0,6,Midlands
B36 8,-10,Midlands
B36 9,12,Midlands
B37 5,9,Midlands
B37 6,6,Midlands
B37 7,3,Midlands
B38 0,-10,Midlands
B38 8,6,Midlands
B38 9,-12,Midlands
B4 6,6,Midlands
B42 1,10,Midlands
B42 2,6,Midlands
B43 5,7,Midlands
B43 6,-8,Midlands
B43 7,3,Midlands
B44 0,6,Midlands
B44 8,8,Midlands
B44 9,8,Midlands
B45 0,7,Midlands
B45 8,21,Midlands
B45 9,14,Midlands
B46 1,3,Midlands
B46 2,16,Midlands
B46 3,25,Midlands
B47 5,8,Midlands
B47 6,-3,Midlands
B48 7,-11,Midlands
B49 5,7,Midlands
B49 6,17,Midlands
B5 4,16,Midlands
B5 5,12,Midlands
B5 6,1,Midlands
B5 7,-14,Midlands
B50 4,1,Midlands
B6 4,6,Midlands
B6 5,7,Midlands
B6 6,-3,Midlands
B6 7,4,Midlands
B60 1,10,Midlands
B60 2,11,Midlands
B60 3,-8,Midlands
B60 4,-11,Midlands
B61 0,3,Midlands
B61 7,4,Midlands
B61 8,8,Midlands
B61 9,-9,Midlands
B62 0,10,Midlands
B62 8,-1,Midlands
B62 9,-2,Midlands
B63 1,4,Midlands
B63 2,2,Midlands
B63 3,11,Midlands
B63 4,2,Midlands
B64 5,13,Midlands
B64 6,1,Midlands
B64 7,-2,Midlands
B65 0,14,Midlands
B65 8,3,Midlands
B65 9,18,Midlands
B66 1,38,Midlands
B66 2,13,Midlands
B66 3,-2,Midlands
B66 4,-1,Midlands
B67 5,16,Midlands
B67 6,3,Midlands
B67 7,11,Midlands
B68 0,3,Midlands
B68 8,-4,Midlands
B68 9,7,Midlands
B69 1,-3,Midlands
B69 2,-3,Midlands
B69 3,36,Midlands
B69 4,24,Midlands
B7 4,47,Midlands
B7 5,30,Midlands
B70 0,15,Midlands
B70 6,-1,Midlands
B70 7,143,Midlands
B70 8,-2,Midlands
B70 9,14,Midlands
B71 1,9,Midlands
B71 2,10,Midlands
B71 3,4,Midlands
B71 4,0,Midlands
B72 1,5,Midlands
B73 5,5,Midlands
B73 6,5,Midlands
B74 2,4,Midlands
B74 3,-12,Midlands
B74 4,2,Midlands
B75 5,1,Midlands
B75 6,3,Midlands
B75 7,12,Midlands
B76 0,55,Midlands
B76 1,7,Midlands
B76 2,14,Midlands
B76 9,30,Midlands
B77 1,14,Midlands
B77 2,9,Midlands
B77 3,10,Midlands
B77 4,15,Midlands
B77 5,11,Midlands
B78 1,5,Midlands
B78 2,0,Midlands
B78 3,5,Midlands
B79 0,12,Midlands
B79 7,-2,Midlands
B79 8,4,Midlands
B79 9,18,Midlands
B8 1,-10,Midlands
B8 2,4,Midlands
B8 3,4,Midlands
B80 7,-1,Midlands
B9 4,-7,Midlands
B9 5,4,Midlands
B90 1,8,Midlands
B90 2,12,Midlands
B90 3,6,Midlands
B90 4,15,Midlands
B91 1,4,Midlands
B91 2,0,Midlands
B91 3,13,Midlands
B92 0,11,Midlands
B92 7,12,Midlands
B92 8,8,Midlands
B92 9,10,Midlands
B93 0,4,Midlands
B93 8,8,Midlands
B93 9,0,Midlands
B94 5,-8,Midlands
B94 6,-6,Midlands
B95 5,9,Midlands
B95 6,2,Midlands
B96 6,4,Midlands
B97 4,20,Midlands
B97 5,4,Midlands
B97 6,2,Midlands
B98 0,5,Midlands
B98 7,4,Midlands
B98 8,-2,Midlands
B98 9,7,Midlands
BA1 1,4,South West
BA1 2,7,South West
BA1 3,15,South West
BA1 4,13,South West
BA1 5,20,South West
BA1 6,13,South West
BA1 7,8,South West
BA1 8,10,South West
BA1 9,15,South West
BA10 0,-5,South West
BA11 1,7,South West
BA11 2,12,South West
BA11 3,15,South West
BA11 4,4,South West
BA11 5,4,South West
BA11 6,55,South West
BA12 0,12,South West
BA12 6,-4,South West
BA12 7,-4,South West
BA12 8,14,South West
BA12 9,0,South West
BA13 2,20,South West
BA13 3,6,South West
BA13 4,14,South West
BA14 0,14,South West
BA14 6,12,South West
BA14 7,7,South West
BA14 8,8,South West
BA14 9,14,South West
BA15 1,0,South West
BA15 2,-12,South West
BA16 0,4,South West
BA16 9,-1,South West
BA2 0,19,South West
BA2 1,15,South West
BA2 2,13,South West
BA2 3,30,South West
BA2 4,14,South West
BA2 5,10,South West
BA2 6,11,South West
BA2 7,2,South West
BA2 8,4,South West
BA2 9,-18,South West
BA20 1,7,South West
BA20 2,3,South West
BA21 3,16,South West
BA21 4,3,South West
BA21 5,6,South West
BA22 7,23,South West
BA22 8,4,South West
BA22 9,22,South West
BA3 2,4,South West
BA3 3,16,South West
BA3 4,22,South West
BA3 5,15,South West
BA4 4,6,South West
BA4 5,17,South West
BA4 6,4,South West
BA5 1,9,South West
BA5 2,13,South West
BA5 3,10,South West
BA6 8,25,South West
BA6 9,6,South West
BA7 7,8,South West
BA8 0,-12,South West
BA9 8,5,South West
BA9 9,5,South West
BB1 1,-5,North England
BB1 2,5,North England
BB1 3,2,North England
BB1 4,-13,North England
BB1 5,-14,North England
BB1 6,8,North England
BB1 7,-12,North England
BB1 8,6,North England
BB1 9,-6,North England
BB10 1,24,North England
BB10 2,9,North England
BB10 3,15,North England
BB10 4,3,North England
BB11 1,82,North England
BB11 2,3,North England
BB11 3,35,North England
BB11 4,5,North England
BB11 5,1,North England
BB12 0,12,North England
BB12 6,6,North England
BB12 7,1,North England
BB12 8,-1,North England
BB12 9,1,North England
BB18 5,12,North England
BB18 6,9,North England
BB2 1,-11,North England
BB2 2,12,North England
BB2 3,-10,North England
BB2 4,4,North England
BB2 5,1,North England
BB2 6,5,North England
BB2 7,4,North England
BB3 0,-4,North England
BB3 1,-4,North England
BB3 2,-3,North England
BB3 3,12,North England
BB4 4,6,North England
BB4 5,12,North England
BB4 6,-2,North England
BB4 7,2,North England
BB4 8,5,North England
BB4 9,1,North England
BB5 0,3,North England
BB5 1,-17,North England
BB5 2,14,North England
BB5 3,-5,North England
BB5 4,6,North England
BB5 5,7,North England
BB5 6,12,North England
BB6 7,6,North England
BB6 8,0,North England
BB7 1,-7,North England
BB7 2,0,North England
BB7 3,4,North England
BB7 4,-15,North England
BB7 9,20,North England
BB8 0,1,North England
BB8 7,13,North England
BB8 8,-7,North England
BB8 9,-6,North England
BB9 0,4,North England
BB9 5,4,North England
BB9 6,1,North England
BB9 7,11,North England
BB9 8,8,North England
BB9 9,17,North England
BD1 1,-51,North England
BD1 2,18,North England
BD1 3,-29,North England
BD1 4,-25,North England
BD1 5,25,North England
BD10 0,25,North England
BD10 8,2,North England
BD10 9,5,North England
BD11 1,5,North England
BD11 2,1,North England
BD12 0,-2,North England
BD12 7,32,North England
BD12 8,72,North England
BD12 9,-4,North England
BD13 1,11,North England
BD13 2,-5,North England
BD13 3,7,North England
BD13 4,12,North England
BD13 5,9,North England
BD14 6,-2,North England
BD15 0,-12,North England
BD15 7,5,North England
BD15 8,22,North England
BD15 9,-2,North England
BD16 1,8,North England
BD16 2,2,North England
BD16 3,13,North England
BD16 4,0,North England
BD17 5,6,North England
BD17 6,2,North England
BD17 7,-9,North England
BD18 1,3,North England
BD18 2,2,North England
BD18 3,7,North England
BD18 4,9,North England
BD19 3,-14,North England
BD19 4,12,North England
BD19 5,9,North England
BD19 6,19,North England
BD2 1,2,North England
BD2 2,1,North England
BD2 3,9,North England
BD2 4,2,North England
BD20 0,3,North England
BD20 5,1,North England
BD20 6,6,North England
BD20 7,30,North England
BD20 8,5,North England
BD20 9,8,North England
BD21 1,4,North England
BD21 2,-6,North England
BD21 3,50,North England
BD21 4,4,North England
BD21 5,-1,North England
BD22 0,15,North England
BD22 6,4,North England
BD22 7,17,North England
BD22 8,11,North England
BD22 9,4,North England
BD23 1,15,North England
BD23 2,12,North England
BD23 3,-6,North England
BD23 4,0,North England
BD23 5,10,North England
BD23 6,4,North England
BD24 0,-5,North England
BD24 9,-7,North England
BD3 0,-4,North England
BD3 7,-18,North England
BD3 8,5,North England
BD3 9,18,North England
BD4 0,-5,North England
BD4 6,8,North England
BD4 7,-8,North England
BD4 8,-9,North England
BD4 9,5,North England
BD5 0,-1,North England
BD5 7,-27,North England
BD5 8,11,North England
BD5 9,6,North England
BD6 1,3,North England
BD6 2,-5,North England
BD6 3,12,North England
BD7 1,6,North England
BD7 2,12,North England
BD7 3,-9,North England
BD7 4,16,North England
BD8 0,13,North England
BD8 7,134,North England
BD8 8,-8,North England
BD8 9,6,North England
BD9 4,5,North England
BD9 5,-16,North England
BD9 6,9,North England
BH1 1,-3,South West
BH1 2,-8,South West
BH1 3,-7,South West
BH1 4,-4,South West
BH10 4,-1,South West
BH10 5,7,South West
BH10 6,7,South West
BH10 7,15,South West
BH11 8,7,South West
BH11 9,8,South West
BH12 1,7,South West
BH12 2,5,South West
BH12 3,11,South West
BH12 4,16,South West
BH12 5,8,South West
BH13 6,-3,South West
BH13 7,6,South West
BH14 0,-1,South West
BH14 8,3,South West
BH14 9,-2,South West
BH15 1,9,South West
BH15 2,-4,South West
BH15 3,2,South West
BH15 4,4,South West
BH16 5,0,South West
BH16 6,5,South West
BH17 7,11,South West
BH17 8,22,South West
BH17 9,-2,South West
BH18 8,3,South West
BH18 9,1,South West
BH19 1,0,South West
BH19 2,1,South West
BH19 3,18,South West
BH2 5,32,South West
BH2 6,8,South West
BH20 4,-7,South West
BH20 5,2,South West
BH20 6,3,South West
BH20 7,17,South West
BH21 1,6,South West
BH21 2,10,South West
BH21 3,6,South West
BH21 4,11,South West
BH21 5,1,South West
BH21 6,23,South West
BH21 7,5,South West
BH21 8,-13,South West
BH22 0,7,South West
BH22 8,15,South West
BH22 9,6,South West
BH23 1,12,South West
BH23 2,2,South West
BH23 3,-1,South West
BH23 4,9,South West
BH23 5,7,South West
BH23 6,75,South West
BH23 7,-7,South West
BH23 8,1,South West
BH24 1,4,South West
BH24 2,7,South West
BH24 3,-3,South West
BH24 4,33,South West
BH25 5,7,South West
BH25 6,2,South West
BH25 7,3,South West
BH3 7,6,South West
BH31 6,9,South West
BH31 7,9,South West
BH4 8,9,South West
BH4 9,5,South West
BH5 1,3,South West
BH5 2,9,South West
BH6 3,0,South West
BH6 4,11,South West
BH6 5,4,South West
BH7 6,-8,South West
BH7 7,8,South West
BH8 0,-2,South West
BH8 8,4,South West
BH8 9,0,South West
BH9 1,7,South West
BH9 2,-7,South West
BH9 3,6,South West
BL0 0,14,North England
BL0 9,-6,North England
BL1 1,220,North England
BL1 2,13,North England
BL1 3,11,North England
BL1 4,0,North England
BL1 5,1,North England
BL1 6,6,North England
BL1 7,4,North England
BL1 8,24,North England
BL2 1,1,North England
BL2 2,9,North England
BL2 3,3,North England
BL2 4,5,North England
BL2 5,4,North England
BL2 6,14,North England
BL3 1,15,North England
BL3 2,14,North England
BL3 3,5,North England
BL3 4,6,North England
BL3 5,-4,North England
BL3 6,-10,North England
BL4 0,1,North England
BL4 7,4,North England
BL4 8,7,North England
BL4 9,20,North England
BL5 1,2,North England
BL5 2,-3,North England
BL5 3,6,North England
BL6 4,8,North England
BL6 5,-7,North England
BL6 6,-18,North England
BL6 7,-12,North England
BL7 0,11,North England
BL7 8,8,North England
BL7 9,3,North England
BL8 1,5,North England
BL8 2,8,North England
BL8 3,-14,North England
BL8 4,8,North England
BL9 0,1,North England
BL9 5,-17,North England
BL9 6,12,North England
BL9 7,33,North England
BL9 8,11,North England
BL9 9,5,North England
BN1 1,13,South East
BN1 2,2,South East
BN1 3,10,South East
BN1 4,5,South East
BN1 5,3,South East
BN1 6,3,South East
BN1 7,8,South East
BN1 8,14,South East
BN1 9,4,South East
BN10 7,10,South East
BN10 8,9,South East
BN11 1,2,South East
BN11 2,10,South East
BN11 3,-11,South East
BN11 4,2,South East
BN11 5,5,South East
BN12 4,6,South East
BN12 5,6,South East
BN12 6,-2,South East
BN13 1,12,South East
BN13 2,13,South East
BN13 3,-5,South East
BN14 0,7,South East
BN14 7,9,South East
BN14 8,14,South East
BN14 9,16,South East
BN15 0,6,South East
BN15 8,8,South East
BN15 9,6,South East
BN16 1,9,South East
BN16 2,1,South East
BN16 3,12,South East
BN16 4,10,South East
BN17 5,4,South East
BN17 6,12,South East
BN17 7,14,South East
BN18 0,7,South East
BN18 9,4,South East
BN2 0,16,South East
BN2 1,16,South East
BN2 2,49,South East
BN2 3,19,South East
BN2 4,8,South East
BN2 5,24,South East
BN2 6,13,South East
BN2 7,6,South East
BN2 8,5,South East
BN2 9,9,South East
BN20 0,1,South East
BN20 7,12,South East
BN20 8,14,South East
BN20 9,15,South East
BN21 1,10,South East
BN21 2,5,South East
BN21 3,5,South East
BN21 4,4,South East
BN22 0,6,South East
BN22 7,14,South East
BN22 8,12,South East
BN22 9,10,South East
BN23 5,12,South East
BN23 6,10,South East
BN23 7,13,South East
BN23 8,7,South East
BN24 5,8,South East
BN24 6,0,South East
BN25 1,2,South East
BN25 2,11,South East
BN25 3,10,South East
BN25 4,2,South East
BN26 5,12,South East
BN26 6,20,South East
BN27 1,13,South East
BN27 2,3,South East
BN27 3,2,South East
BN27 4,0,South East
BN3 1,4,South East
BN3 2,2,South East
BN3 3,13,South East
BN3 4,10,South East
BN3 5,8,South East
BN3 6,11,South East
BN3 7,9,South East
BN3 8,10,South East
BN41 1,16,South East
BN41 2,12,South East
BN42 4,11,South East
BN43 5,18,South East
BN43 6,8,South East
BN44 3,8,South East
BN45 7,37,South East
BN5 9,8,South East
BN6 8,4,South East
BN6 9,1,South East
BN7 1,10,South East
BN7 2,26,South East
BN7 3,17,South East
BN8 4,2,South East
BN8 5,-10,South East
BN8 6,-13,South East
BN9 0,15,South East
BN9 9,8,South East
BR1 1,15,Greater London
BR1 2,-2,Greater London
BR1 3,6,Greater London
BR1 4,11,Greater London
BR1 5,16,Greater London
BR2 0,8,Greater London
BR2 6,-16,Greater London
BR2 7,15,Greater London
BR2 8,13,Greater London
BR2 9,17,Greater London
BR3 1,-10,Greater London
BR3 3,5,Greater London
BR3 4,7,Greater London
BR3 5,8,Greater London
BR3 6,14,Greater London
BR4 0,2,Greater London
BR4 9,12,Greater London
BR5 1,17,Greater London
BR5 2,14,Greater London
BR5 3,17,Greater London
BR5 4,14,Greater London
BR6 0,-1,Greater London
BR6 6,-13,Greater London
BR6 7,-4,Greater London
BR6 8,4,Greater London
BR6 9,9,Greater London
BR7 5,9,Greater London
BR7 6,10,Greater London
BR8 7,16,Greater London
BR8 8,6,Greater London
BS1 1,6,South West
BS1 2,184,South West
BS1 3,11,South West
BS1 4,12,South West
BS1 5,24,South West
BS1 6,17,South West
BS10 5,11,South West
BS10 6,13,South West
BS10 7,20,South West
BS11 0,2,South West
BS11 9,13,South West
BS13 0,17,South West
BS13 7,6,South West
BS13 8,17,South West
BS13 9,24,South West
BS14 0,2,South West
BS14 8,15,South West
BS14 9,10,South West
BS15 1,12,South West
BS15 3,-3,South West
BS15 4,7,South West
BS15 8,7,South West
BS15 9,11,South West
BS16 1,22,South West
BS16 2,19,South West
BS16 3,4,South West
BS16 4,16,South West
BS16 5,11,South West
BS16 6,19,South West
BS16 7,0,South West
BS16 9,-6,South West
BS2 0,3,South West
BS2 8,12,South West
BS2 9,26,South West
BS20 0,4,South West
BS20 6,1,South West
BS20 7,15,South West
BS20 8,12,South West
BS21 5,16,South West
BS21 6,16,South West
BS21 7,21,South West
BS22 6,11,South West
BS22 7,-2,South West
BS22 8,6,South West
BS22 9,11,South West
BS23 1,24,South West
BS23 2,1,South West
BS23 3,-1,South West
BS23 4,1,South West
BS24 0,21,South West
BS24 6,2,South West
BS24 7,8,South West
BS24 8,7,South West
BS24 9,10,South West
BS25 1,-12,South West
BS25 5,-8,South West
BS26 2,2,South West
BS27 3,0,South West
BS28 4,2,South West
BS29 6,-8,South West
BS3 1,15,South West
BS3 2,10,South West
BS3 3,15,South West
BS3 4,12,South West
BS3 5,12,South West
BS30 5,1,South West
BS30 6,-10,South West
BS30 7,16,South West
BS30 8,7,South West
BS30 9,3,South West
BS31 1,12,South West
BS31 2,26,South West
BS31 3,7,South West
BS32 0,6,South West
BS32 4,-16,South West
BS32 8,5,South West
BS32 9,5,South West
BS34 5,1,South West
BS34 6,2,South West
BS34 7,7,South West
BS34 8,3,South West
BS35 1,7,South West
BS35 2,16,South West
BS35 3,22,South West
BS35 4,10,South West
BS35 5,-2,South West
BS36 1,12,South West
BS36 2,10,South West
BS37 4,7,South West
BS37 5,14,South West
BS37 6,2,South West
BS37 7,20,South West
BS37 8,10,South West
BS37 9,11,South West
BS39 4,-6,South West
BS39 5,-2,South West
BS39 6,8,South West
BS39 7,8,South West
BS4 1,16,South West
BS4 2,15,South West
BS4 3,21,South West
BS4 4,12,South West
BS4 5,21,South West
BS40 5,5,South West
BS40 6,14,South West
BS40 7,-4,South West
BS40 8,11,South West
BS40 9,-4,South West
BS41 8,11,South West
BS41 9,10,South West
BS48 1,10,South West
BS48 2,13,South West
BS48 3,26,South West
BS48 4,17,South West
BS49 4,8,South West
BS49 5,1,South West
BS5 0,11,South West
BS5 6,11,South West
BS5 7,15,South West
BS5 8,19,South West
BS5 9,18,South West
BS6 5,15,South West
BS6 6,15,South West
BS6 7,14,South West
BS7 0,12,South West
BS7 8,14,South West
BS7 9,13,South West
BS8 1,37,South West
BS8 2,16,South West
BS8 3,14,South West
BS8 4,16,South West
BS9 1,16,South West
BS9 2,17,South West
BS9 3,9,South West
BS9 4,9,South West
CA1 1,-19,North England
CA1 2,-4,North England
CA1 3,13,North England
CA10 1,7,North England
CA10 2,-11,North England
CA10 3,4,North England
CA11 0,-11,North England
CA11 7,-12,North England
CA11 8,6,North England
CA11 9,-8,North England
CA12 4,2,North England
CA12 5,1,North England
CA13 0,7,North England
CA13 9,7,North England
CA14 1,7,North England
CA14 2,11,North England
CA14 3,-1,North England
CA14 4,2,North England
CA14 5,-11,North England
CA15 6,9,North England
CA15 7,3,North England
CA15 8,-6,North England
CA16 6,-10,North England
CA17 4,-4,North England
CA18 1,-1,North England
CA19 1,41,North England
CA2 4,4,North England
CA2 5,-2,North England
CA2 6,-3,North England
CA2 7,-1,North England
CA20 1,6,North England
CA21 2,13,North England
CA22 2,-6,North England
CA23 3,31,North England
CA24 3,15,North England
CA25 5,8,North England
CA26 3,10,North England
CA27 0,-1,North England
CA28 6,-9,North England
CA28 7,6,North England
CA28 8,0,North England
CA28 9,23,North England
CA3 0,1,North England
CA3 8,17,North England
CA3 9,8,North England
CA4 0,11,North England
CA4 8,-1,North England
CA4 9,6,North England
CA5 6,6,North England
CA5 7,-9,North England
CA6 4,4,North England
CA6 5,12,North England
CA6 6,22,North England
CA7 0,7,North England
CA7 1,-5,North England
CA7 2,-2,North England
CA7 3,18,North England
CA7 4,2,North England
CA7 5,10,North England
CA7 8,10,North England
CA7 9,-12,North England
CA8 1,7,North England
CA8 2,3,North England
CA8 7,-16,North England
CA8 9,-7,North England
CA9 3,11,North England
CB1 1,-20,Midlands
CB1 2,-3,Midlands
CB1 3,4,Midlands
CB1 7,-6,Midlands
CB1 8,11,Midlands
CB1 9,8,Midlands
CB10 1,25,Midlands
CB10 2,13,Midlands
CB11 3,19,Midlands
CB11 4,7,Midlands
CB2 0,25,Midlands
CB2 1,-2,Midlands
CB2 8,-18,Midlands
CB2 9,-5,Midlands
CB21 4,9,Midlands
CB21 5,-5,Midlands
CB21 6,-14,Midlands
CB22 3,1,Midlands
CB22 4,7,Midlands
CB22 5,-6,Midlands
CB22 6,28,Midlands
CB22 7,28,Midlands
CB23 1,-7,Midlands
