Year,Sector,Price,Volume,Region,text
2018,AL1 1,600000,246,South East,Sales Volume: 246
2018,AL1 2,512000,184,South East,Sales Volume: 184
2018,AL1 3,464000,354,South East,Sales Volume: 354
2018,AL1 4,783000,290,South East,Sales Volume: 290
2018,AL1 5,454000,354,South East,Sales Volume: 354
2018,AL10 0,287000,200,South East,Sales Volume: 200
2018,AL10 8,305000,204,South East,Sales Volume: 204
2018,AL10 9,355000,330,South East,Sales Volume: 330
2018,AL2 1,410000,292,South East,Sales Volume: 292
2018,AL2 2,491000,142,South East,Sales Volume: 142
2018,AL2 3,573000,232,South East,Sales Volume: 232
2018,AL3 4,623000,200,South East,Sales Volume: 200
2018,AL3 5,633000,238,South East,Sales Volume: 238
2018,AL3 6,628000,76,South East,Sales Volume: 76
2018,AL3 7,509000,152,South East,Sales Volume: 152
2018,AL3 8,422000,152,South East,Sales Volume: 152
2018,AL4 0,533000,184,South East,Sales Volume: 184
2018,AL4 8,639000,174,South East,Sales Volume: 174
2018,AL4 9,514000,342,South East,Sales Volume: 342
2018,AL5 1,630000,250,South East,Sales Volume: 250
2018,AL5 2,1223000,162,South East,Sales Volume: 162
2018,AL5 3,848000,178,South East,Sales Volume: 178
2018,AL5 4,800000,184,South East,Sales Volume: 184
2018,AL5 5,653000,230,South East,Sales Volume: 230
2018,AL6 0,729000,172,South East,Sales Volume: 172
2018,AL6 9,612000,178,South East,Sales Volume: 178
2018,AL7 1,294000,286,South East,Sales Volume: 286
2018,AL7 2,333000,236,South East,Sales Volume: 236
2018,AL7 3,337000,310,South East,Sales Volume: 310
2018,AL7 4,384000,396,South East,Sales Volume: 396
2018,AL8 6,441000,140,South East,Sales Volume: 140
2018,AL8 7,513000,182,South East,Sales Volume: 182
2018,AL9 5,432000,92,South East,Sales Volume: 92
2018,AL9 6,1071000,38,South East,Sales Volume: 38
2018,AL9 7,688000,198,South East,Sales Volume: 198
2018,B1 1,215000,308,Midlands,Sales Volume: 308
2018,B1 2,173000,234,Midlands,Sales Volume: 234
2018,B1 3,198000,450,Midlands,Sales Volume: 450
2018,B10 0,123000,80,Midlands,Sales Volume: 80
2018,B10 9,140000,176,Midlands,Sales Volume: 176
2018,B11 1,132000,104,Midlands,Sales Volume: 104
2018,B11 2,114000,114,Midlands,Sales Volume: 114
2018,B11 3,156000,382,Midlands,Sales Volume: 382
2018,B11 4,168000,140,Midlands,Sales Volume: 140
2018,B12 0,127000,448,Midlands,Sales Volume: 448
2018,B12 8,128000,68,Midlands,Sales Volume: 68
2018,B12 9,185000,46,Midlands,Sales Volume: 46
2018,B13 0,216000,340,Midlands,Sales Volume: 340
2018,B13 8,297000,214,Midlands,Sales Volume: 214
2018,B13 9,236000,380,Midlands,Sales Volume: 380
2018,B14 4,171000,412,Midlands,Sales Volume: 412
2018,B14 5,163000,294,Midlands,Sales Volume: 294
2018,B14 6,218000,312,Midlands,Sales Volume: 312
2018,B14 7,246000,300,Midlands,Sales Volume: 300
2018,B15 1,213000,250,Midlands,Sales Volume: 250
2018,B15 2,271000,738,Midlands,Sales Volume: 738
2018,B15 3,344000,400,Midlands,Sales Volume: 400
2018,B16 0,231000,204,Midlands,Sales Volume: 204
2018,B16 8,200000,610,Midlands,Sales Volume: 610
2018,B16 9,204000,284,Midlands,Sales Volume: 284
2018,B17 0,280000,308,Midlands,Sales Volume: 308
2018,B17 8,399000,278,Midlands,Sales Volume: 278
2018,B17 9,341000,382,Midlands,Sales Volume: 382
2018,B18 4,101000,92,Midlands,Sales Volume: 92
2018,B18 5,134000,76,Midlands,Sales Volume: 76
2018,B18 6,206000,144,Midlands,Sales Volume: 144
2018,B18 7,162000,26,Midlands,Sales Volume: 26
2018,B19 1,121000,54,Midlands,Sales Volume: 54
2018,B19 2,147000,42,Midlands,Sales Volume: 42
2018,B19 3,201000,26,Midlands,Sales Volume: 26
2018,B2 4,192000,22,Midlands,Sales Volume: 22
2018,B2 5,174000,72,Midlands,Sales Volume: 72
2018,B20 1,232000,112,Midlands,Sales Volume: 112
2018,B20 2,180000,240,Midlands,Sales Volume: 240
2018,B20 3,143000,162,Midlands,Sales Volume: 162
2018,B21 0,118000,124,Midlands,Sales Volume: 124
2018,B21 8,130000,142,Midlands,Sales Volume: 142
2018,B21 9,138000,140,Midlands,Sales Volume: 140
2018,B23 5,176000,578,Midlands,Sales Volume: 578
2018,B23 6,142000,378,Midlands,Sales Volume: 378
2018,B23 7,137000,466,Midlands,Sales Volume: 466
2018,B24 0,199000,270,Midlands,Sales Volume: 270
2018,B24 8,150000,216,Midlands,Sales Volume: 216
2018,B24 9,171000,284,Midlands,Sales Volume: 284
2018,B25 8,146000,362,Midlands,Sales Volume: 362
2018,B26 1,183000,416,Midlands,Sales Volume: 416
2018,B26 2,172000,388,Midlands,Sales Volume: 388
2018,B26 3,175000,364,Midlands,Sales Volume: 364
2018,B27 6,187000,282,Midlands,Sales Volume: 282
2018,B27 7,165000,358,Midlands,Sales Volume: 358
2018,B28 0,243000,404,Midlands,Sales Volume: 404
2018,B28 8,222000,212,Midlands,Sales Volume: 212
2018,B28 9,227000,170,Midlands,Sales Volume: 170
2018,B29 4,256000,126,Midlands,Sales Volume: 126
2018,B29 5,143000,218,Midlands,Sales Volume: 218
2018,B29 6,217000,472,Midlands,Sales Volume: 472
2018,B29 7,272000,316,Midlands,Sales Volume: 316
2018,B3 1,228000,280,Midlands,Sales Volume: 280
2018,B3 2,145000,28,Midlands,Sales Volume: 28
2018,B3 3,423000,22,Midlands,Sales Volume: 22
2018,B30 1,294000,250,Midlands,Sales Volume: 250
2018,B30 2,206000,380,Midlands,Sales Volume: 380
2018,B30 3,168000,304,Midlands,Sales Volume: 304
2018,B31 1,158000,318,Midlands,Sales Volume: 318
2018,B31 2,236000,632,Midlands,Sales Volume: 632
2018,B31 3,160000,328,Midlands,Sales Volume: 328
2018,B31 4,149000,326,Midlands,Sales Volume: 326
2018,B31 5,168000,334,Midlands,Sales Volume: 334
2018,B32 1,180000,240,Midlands,Sales Volume: 240
2018,B32 2,196000,366,Midlands,Sales Volume: 366
2018,B32 3,150000,242,Midlands,Sales Volume: 242
