Prefix,Area,Region
AB,Aberdeen,Scotland
AL,St. Albans,South East
B,Birmingham,West Midlands
BA,Bath,South West
BB,Blackburn,North West
BD,Bradford,North West
BH,Bournemouth,South West
BL,Bolton,North West
BN,Brighton,South East
BR,Bromley,Greater London
BS,Bristol,South West
BT,Belfast,Northern Ireland
CA,Carlisle,North West
CB,Cambridge,East Midlands
CF,Cardiff,Wales
CH,Chester,North West
CM,Chelmsford,South East
CO,Colchester,East Midlands
CR,Croydon,Greater London
CT,Canterbury,South East
CV,Coventry,West Midlands
CW,Crewe,North West
DA,Dartford,Greater London
DD,Dundee,Scotland
DE,Derby,East Midlands
DG,Dumfries,Scotland
DH,Durham,North East
DL,Darlington,North East
DN,Doncaster,East Midlands
DT,Dorchester,South West
DY,Dudley,West Midlands
E,London E,Greater London
EC,London EC,Greater London
EH,Edinburgh,Scotland
EN,Enfield,Greater London
EX,Exeter,South West
FK,Falkirk,Scotland
FY,Blackpool,North West
G,Glasgow,Scotland
GL,Gloucester,South West
GU,Guilford,South East
GY,Guernsey,South West
HA,Harrow,Greater London
HD,Huddersfield,North West
HG,Harrogate,North East
HP,Hemel Hempstead,South East
HR,Hereford,West Midlands
HS,Stornoway,Scotland
HU,Hull,North East
HX,Halifax,North West
IG,Ilford,Greater London
IP,Ipswich,East Midlands
IV,Inverness,Scotland
JE,Jersey,South West
KA,Kilmarnock,Scotland
KT,Kingston upon Thames,Greater London
KW,Kirkwall,Scotland
KY,Kirkaldy,Scotland
L,Liverpool,North West
LA,Lancaster,North West
LD,Llandrindod,Wales
LE,Leicester,East Midlands
LL,Llandudno,Wales
LN,Lincoln,East Midlands
LS,Leeds,North East
LU,Luton,South East
M,Manchester,North West
ME,Medway,South East
MK,Milton Keynes,South East
ML,Motherwell,Scotland
N,London N,Greater London
NE,Newcastle,North East
NG,Nottingham,East Midlands
NN,Northampton,West Midlands
NP,Newport,Wales
NR,Norwich,East Midlands
NW,London NW,Greater London
OL,Oldham,North West
OX,Oxford,South East
PA,Paisley,Scotland
PE,Peterborough,East Midlands
PH,Perth,Scotland
PL,Plymouth,South West
PO,Portsmouth,South East
PR,Preston,North West
RG,Reading,South East
RH,Redhill,South East
RM,Romford,Greater London
S,Sheffield,East Midlands
SA,Swansea,Wales
SE,London SE,Greater London
SG,Stevenage,South East
SK,Stockport,North West
SL,Slough,South East
SM,Sutton,Greater London
SN,Swindon,South West
SO,Southampton,South East
SP,Salisbury,South West
SR,Sunderland,North East
SS,Southend on Sea,South East
ST,Stoke on Trent,West Midlands
SW,London SW,Greater London
SY,Shrewsbury,Wales
TA,Taunton,South West
TD,Galashiels,Scotland
TF,Telford,West Midlands
TN,Tonbridge,South East
TQ,Torquay,South West
TR,Truro,South West
TS,Cleveland,North East
TW,Twickenham,Greater London
UB,Southall,Greater London
W,London W,Greater London
WA,Warrington,North West
WC,London WC,Greater London
WD,Watford,Greater London
WF,Wakefield,North East
WN,Wigan,North West
WR,Worcester,West Midlands
WS,Walsall,West Midlands
WV,Wolverhampton,West Midlands
YO,York,North East
ZE,Shetland,Scotland
